event_name,date,day_type,sector_zone,parking_walk_km,shuttle_distance_km,has_expanded_ghat,throughput_tier,days_since_start,festival_proximity_days,temperature_c,crowd_risk_level,is_synthetic,data_source_notes
Nashik 2027 Simulation Day 48,2027-08-18,Weekend,Trimbakeshwar Inner Ghats,2.96,15.33,0,2,47,6,29.6,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 32,2027-08-02,Weekend,Ram Kund - Panchavati,1.47,9.87,0,2,31,3,34.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Normal Day,Tapovan,1.21,4.43,1,1,38,4,30.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 34,2027-08-04,Normal Day,Trimbakeshwar Inner Ghats,1.78,15.78,0,3,33,1,28.9,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 3,2027-08-03,Normal Day,Tapovan,1.27,4.96,0,2,2,1,28.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Normal Day,Tapovan,1.33,9.97,1,1,22,3,29.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Normal Day,Ram Kund - Panchavati,2.07,6.92,1,2,23,2,31.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Normal Day,Outer Transit & Parking,2.51,12.16,0,1,11,1,34.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 10,2027-08-10,Weekend,Sadhugram,1.5,3.75,1,1,9,4,32.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 38,2027-08-08,Weekend,Tapovan,1.54,5.21,1,1,37,4,28.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Normal Day,Sadhugram,1.1,4.77,1,1,7,4,28.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Weekend,Ram Kund - Panchavati,1.44,8.78,1,2,52,7,33.2,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Weekend,Tapovan,1.48,6.65,1,2,29,3,26.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Normal Day,Trimbakeshwar Inner Ghats,2.47,15.65,0,2,49,5,33.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 18,2027-08-18,Normal Day,Ram Kund - Panchavati,1.7,7.54,0,3,17,2,24.9,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Shahi Snan,Sadhugram,1.03,6.16,1,1,52,0,30.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 17,2027-08-17,Amavasya,Ram Kund - Panchavati,1.54,11.74,0,3,16,0,30.8,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 21,2027-08-21,Normal Day,Ram Kund - Panchavati,1.31,6.03,1,3,20,4,32.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 37,2027-08-07,Amavasya,Sadhugram,0.59,5.44,1,1,36,0,23.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 33,2027-08-03,Normal Day,Sadhugram,1.08,6.49,1,1,32,4,22.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 5,2027-08-05,Normal Day,Tapovan,1.75,8.24,0,1,4,3,27.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Normal Day,Sadhugram,1.34,5.74,1,1,1,4,24.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Normal Day,Sadhugram,0.62,7.44,1,1,21,4,28.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Weekend,Trimbakeshwar Inner Ghats,2.29,9.88,0,2,38,3,29.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 47,2027-08-17,Normal Day,Sadhugram,1.0,4.42,1,1,46,2,23.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Weekend,Ram Kund - Panchavati,1.27,7.66,1,1,0,3,32.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 57,2027-08-27,Normal Day,Outer Transit & Parking,3.4,16.61,0,1,56,1,23.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 54,2027-08-24,Weekend,Tapovan,1.89,6.26,1,1,53,3,30.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 56,2027-08-26,Normal Day,Ram Kund - Panchavati,2.28,6.83,0,3,55,6,24.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 18,2027-08-18,Weekend,Ram Kund - Panchavati,2.45,9.86,0,1,17,1,34.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 29,2027-08-29,Normal Day,Ram Kund - Panchavati,2.22,10.62,0,3,28,1,24.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Weekend,Ram Kund - Panchavati,2.61,7.29,1,2,39,3,25.8,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 45,2027-08-15,Normal Day,Trimbakeshwar Inner Ghats,2.6,11.16,1,2,44,2,33.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 33,2027-08-03,Normal Day,Tapovan,1.63,5.45,1,2,32,1,31.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Shahi Snan,Sadhugram,0.9,5.65,1,1,29,0,29.7,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Shahi Snan,Trimbakeshwar Inner Ghats,2.8,11.64,0,2,23,0,23.7,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 5,2027-08-05,Amavasya,Outer Transit & Parking,2.57,12.94,0,1,4,0,24.4,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Normal Day,Tapovan,1.48,7.41,1,1,13,4,33.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Weekend,Sadhugram,0.79,4.04,1,1,49,4,24.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 30,2027-08-30,Shahi Snan,Tapovan,1.7,6.84,0,2,29,0,34.3,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 33,2027-08-03,Weekend,Trimbakeshwar Inner Ghats,1.63,10.93,0,2,32,7,23.8,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Weekend,Sadhugram,1.41,3.82,1,1,58,3,30.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 21,2027-08-21,Amavasya,Trimbakeshwar Inner Ghats,2.73,12.31,0,3,20,0,31.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 58,2027-08-28,Normal Day,Ram Kund - Panchavati,1.59,9.0,1,1,57,3,25.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 33,2027-08-03,Amavasya,Tapovan,1.02,6.75,1,2,32,0,28.3,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 48,2027-08-18,Normal Day,Sadhugram,0.74,7.8,1,1,47,6,24.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Shahi Snan,Sadhugram,1.07,4.3,1,1,58,0,27.7,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Weekend,Tapovan,1.68,6.13,1,1,0,6,34.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 52,2027-08-22,Shahi Snan,Outer Transit & Parking,3.16,12.48,0,1,51,0,25.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 47,2027-08-17,Shahi Snan,Tapovan,1.4,4.07,0,1,46,0,34.0,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 3,2027-08-03,Normal Day,Sadhugram,0.68,5.57,1,1,2,6,32.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Normal Day,Trimbakeshwar Inner Ghats,1.99,11.18,1,3,39,1,22.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Weekend,Ram Kund - Panchavati,1.25,6.35,1,1,38,1,30.1,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Amavasya,Ram Kund - Panchavati,2.67,6.61,1,1,11,0,22.5,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 9,2027-08-09,Normal Day,Ram Kund - Panchavati,1.56,8.59,1,2,8,4,27.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 54,2027-08-24,Normal Day,Tapovan,1.74,6.86,1,1,53,3,29.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 36,2027-08-06,Normal Day,Sadhugram,1.14,4.82,1,1,35,1,25.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 51,2027-08-21,Normal Day,Sadhugram,1.19,6.86,1,1,50,2,30.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 28,2027-08-28,Normal Day,Ram Kund - Panchavati,1.66,11.59,1,2,27,1,28.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Normal Day,Ram Kund - Panchavati,1.69,7.82,0,1,58,2,31.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Shahi Snan,Sadhugram,1.24,7.24,1,1,39,0,27.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 17,2027-08-17,Weekend,Sadhugram,0.84,8.0,1,1,16,1,27.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 33,2027-08-03,Normal Day,Outer Transit & Parking,2.57,13.32,0,1,32,1,31.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Weekend,Ram Kund - Panchavati,2.21,6.78,1,2,21,7,31.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 56,2027-08-26,Normal Day,Ram Kund - Panchavati,2.32,10.29,1,3,55,6,31.0,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 4,2027-08-04,Normal Day,Sadhugram,0.71,6.33,1,1,3,1,24.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 44,2027-08-14,Normal Day,Ram Kund - Panchavati,2.72,8.98,1,1,43,4,32.2,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 8,2027-08-08,Normal Day,Trimbakeshwar Inner Ghats,2.55,14.75,0,3,7,5,28.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Weekend,Ram Kund - Panchavati,2.01,10.31,1,1,58,1,32.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 49,2027-08-19,Normal Day,Tapovan,1.55,5.9,1,1,48,4,22.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 52,2027-08-22,Normal Day,Sadhugram,1.13,4.24,1,1,51,7,24.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 26,2027-08-26,Normal Day,Ram Kund - Panchavati,2.17,7.48,1,1,25,6,26.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 4,2027-08-04,Weekend,Sadhugram,1.44,6.21,1,1,3,2,30.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 7,2027-08-07,Normal Day,Outer Transit & Parking,2.41,13.46,0,1,6,2,34.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 59,2027-08-29,Normal Day,Outer Transit & Parking,2.82,17.83,0,1,58,1,29.2,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Normal Day,Ram Kund - Panchavati,1.53,8.9,0,1,23,2,30.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 36,2027-08-06,Shahi Snan,Sadhugram,0.67,7.63,1,1,35,0,22.9,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Normal Day,Sadhugram,0.52,7.83,1,1,38,2,25.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 41,2027-08-11,Weekend,Ram Kund - Panchavati,2.04,7.5,0,1,40,4,23.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Normal Day,Sadhugram,1.09,6.51,1,1,52,2,30.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Normal Day,Ram Kund - Panchavati,2.07,11.64,0,2,23,7,30.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Weekend,Tapovan,0.91,8.49,1,1,0,3,25.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 27,2027-08-27,Normal Day,Ram Kund - Panchavati,1.57,9.28,1,2,26,7,24.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Normal Day,Trimbakeshwar Inner Ghats,1.86,10.17,0,2,0,2,28.0,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 36,2027-08-06,Weekend,Tapovan,1.25,6.0,1,1,35,4,28.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 16,2027-08-16,Normal Day,Ram Kund - Panchavati,1.67,10.62,1,1,15,7,32.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Normal Day,Trimbakeshwar Inner Ghats,2.63,14.3,0,3,22,6,25.2,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 9,2027-08-09,Normal Day,Trimbakeshwar Inner Ghats,2.21,12.0,1,3,8,5,24.6,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 29,2027-08-29,Weekend,Outer Transit & Parking,2.32,12.25,0,1,28,1,31.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 10,2027-08-10,Shahi Snan,Outer Transit & Parking,2.11,11.49,0,1,9,0,30.6,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 50,2027-08-20,Amavasya,Outer Transit & Parking,2.67,16.45,0,1,49,0,22.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 22,2027-08-22,Weekend,Ram Kund - Panchavati,2.53,10.74,1,3,21,2,34.4,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Normal Day,Tapovan,1.08,5.91,1,1,22,2,32.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 21,2027-08-21,Weekend,Ram Kund - Panchavati,1.86,6.08,0,2,20,3,27.3,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Weekend,Trimbakeshwar Inner Ghats,1.78,8.02,1,3,13,1,28.7,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 35,2027-08-05,Normal Day,Trimbakeshwar Inner Ghats,1.86,10.49,0,2,34,1,25.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 35,2027-08-05,Normal Day,Trimbakeshwar Inner Ghats,2.21,14.03,1,3,34,7,27.4,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Normal Day,Outer Transit & Parking,2.8,10.92,0,1,52,4,29.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 27,2027-08-27,Normal Day,Outer Transit & Parking,2.77,10.91,0,1,26,7,31.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 2,2027-08-02,Shahi Snan,Ram Kund - Panchavati,2.47,6.41,1,2,1,0,30.2,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 53,2027-08-23,Weekend,Trimbakeshwar Inner Ghats,2.69,14.02,0,3,52,5,24.6,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 12,2027-08-12,Normal Day,Outer Transit & Parking,3.32,13.73,0,1,11,6,23.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 55,2027-08-25,Normal Day,Tapovan,0.88,9.26,1,1,54,2,34.6,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 31,2027-08-01,Normal Day,Tapovan,1.08,9.66,0,1,30,7,22.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 43,2027-08-13,Weekend,Sadhugram,0.87,3.23,1,1,42,2,26.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 23,2027-08-23,Amavasya,Ram Kund - Panchavati,2.21,6.57,0,1,22,0,29.6,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 47,2027-08-17,Normal Day,Tapovan,1.76,7.11,0,2,46,5,30.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 24,2027-08-24,Normal Day,Trimbakeshwar Inner Ghats,1.94,12.84,0,3,23,1,33.1,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 19,2027-08-19,Normal Day,Tapovan,1.66,6.32,1,1,18,3,29.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 42,2027-08-12,Weekend,Tapovan,1.79,7.96,1,1,41,2,31.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Normal Day,Sadhugram,0.77,3.95,1,1,38,2,31.0,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 49,2027-08-19,Normal Day,Outer Transit & Parking,3.14,11.5,0,1,48,5,23.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 10,2027-08-10,Weekend,Trimbakeshwar Inner Ghats,2.29,10.11,0,3,9,2,32.7,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 54,2027-08-24,Weekend,Ram Kund - Panchavati,1.72,11.41,1,3,53,6,33.0,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 5,2027-08-05,Normal Day,Outer Transit & Parking,3.5,12.61,0,1,4,1,31.7,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 35,2027-08-05,Shahi Snan,Sadhugram,0.8,4.59,1,1,34,0,34.5,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 48,2027-08-18,Amavasya,Outer Transit & Parking,2.85,12.5,0,1,47,0,30.5,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Weekend,Sadhugram,0.91,5.01,1,1,0,7,27.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 46,2027-08-16,Normal Day,Outer Transit & Parking,3.06,13.11,0,1,45,3,25.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 32,2027-08-02,Shahi Snan,Trimbakeshwar Inner Ghats,1.86,15.97,1,3,31,0,32.5,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 31,2027-08-01,Weekend,Ram Kund - Panchavati,2.53,8.17,1,1,30,7,34.0,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 39,2027-08-09,Weekend,Ram Kund - Panchavati,1.45,9.82,1,1,38,2,31.2,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 51,2027-08-21,Normal Day,Ram Kund - Panchavati,1.23,10.67,1,2,50,1,32.9,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 36,2027-08-06,Normal Day,Outer Transit & Parking,2.96,10.63,0,1,35,6,31.6,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 4,2027-08-04,Normal Day,Sadhugram,0.92,3.42,1,1,3,1,29.9,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 45,2027-08-15,Amavasya,Sadhugram,0.79,7.01,1,1,44,0,35.0,High,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 42,2027-08-12,Normal Day,Tapovan,1.54,9.64,1,1,41,4,26.5,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 57,2027-08-27,Weekend,Tapovan,1.26,4.43,1,1,56,1,28.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 5,2027-08-05,Normal Day,Tapovan,1.44,9.91,0,1,4,3,22.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 14,2027-08-14,Weekend,Outer Transit & Parking,2.38,12.84,0,1,13,1,30.8,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 11,2027-08-11,Normal Day,Outer Transit & Parking,3.17,10.61,0,1,10,6,34.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 34,2027-08-04,Amavasya,Sadhugram,1.3,3.69,1,1,33,0,29.5,Medium,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 1,2027-08-01,Normal Day,Sadhugram,1.38,5.21,1,1,0,1,34.8,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 28,2027-08-28,Normal Day,Tapovan,1.49,8.0,1,2,27,5,26.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 60,2027-08-30,Normal Day,Outer Transit & Parking,2.56,11.56,0,1,59,6,28.4,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 40,2027-08-10,Normal Day,Sadhugram,1.3,3.62,1,1,39,1,31.1,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 54,2027-08-24,Normal Day,Outer Transit & Parking,2.77,15.89,0,1,53,6,28.7,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 45,2027-08-15,Shahi Snan,Ram Kund - Panchavati,1.65,6.79,1,1,44,0,33.1,Extreme,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
Nashik 2027 Simulation Day 55,2027-08-25,Normal Day,Tapovan,1.49,7.35,1,2,54,4,25.3,Low,1,Generated: Domain-driven synthetic row using Nashik 2027 infrastructure parameters.
